id_news|diario|title|snippet|time|year|svm_prediction
ecuador_elcomercio_2016_93|El Comercio (Ecuador)|Banco Mundial ofrece apoyo a Ecuador ante el terremoto​|El presidente del Banco Mundial, Jim Yong Kim, expresó sus condolencias y solidaridad al pueblo de Ecuador, tras el fuerte terremoto que sacudió el país el ...|17 abr. 2016|2016|economi
ecuador_eluniverso_2015_54|El Universo|Ecuador cumplirá pago de $650 millones en bonos 2015 de deuda ...|Ecuador cumplirá el pago de unos 650 millones de dólares en bonos 2015 de su deuda externa pública, que vencen en diciembre, dijo este viernes el ...|11 dic. 2015|2015|economi
ecuador_elcomercio_2018_100|El Comercio (Ecuador)|Ejecutivo decide reducir subsidio de las gasolinas extra y ecopaís; la ...|... ha decidido reducir los subsidios de la gasolina extra y ecopaís en Ecuador. ... Este 18 de diciembre, EL COMERCIO accedió a la Pro forma 2019 ajustada ...|18 dic. 2018|2018|economi
ecuador_eluniverso_2015_22|El Universo|$ 1.061 millones deberá pagar Ecuador a la petrolera Oxy|El Centro Internacional de Arreglo de Diferencias Relativas a Inversiones (Ciadi), entidad adscrita al Banco Mundial, notificó que Ecuador deberá pagar $ 1.061 ...|2 Nov. 2015|2015|economi
ecuador_elcomercio_2015_17|El Comercio|Ecuador deberá pagar a la Oxy USD 1061,7 millones|El Comité del Centro de Diferencias Relativas a Inversiones (Ciadi) del Banco Mundial, que trataba el pedido de nulidad del Ecuador en el caso de arbitraje ...|2 Nov. 2015|2015|economi
ecuador_elcomercio_2015_35|El Comercio|Ecuador respeta tratados de propiedad y adelanta normativa contra ...|"Ecuador ""respeta las obligaciones asumidas en los tratados internacionales de comercio de los cuales forma parte"" y, por esa razón la Asamblea Nacional ..."|30 abr. 2015|2015|economi
ecuador_elcomercio_2015_52|El Comercio|Presidente Correa ve necesario analizar la continuidad del país en la ...|"El presidente de Ecuador, Rafael Correa, dijo hoy, 10 de febrero de 2015, que ... ""golpeada de muerte"" con la firma de tratados de libre comercio con Estados ..."|10 Feb. 2015|2015|economi
ecuador_elcomercio_2015_71|El Comercio|Ecuador y región española de Andalucía fomentarán las relaciones ...|El ministro de Comercio Exterior de Ecuador, Diego Aulestia Valencia, y el consejero de Economía de Andalucía (sur), Antonio Ramírez, acuerdan impulsar las ...|3 ago. 2015|2015|economi
ecuador_elcomercio_2016_10|El Comercio (Ecuador)|Escaso resultado comercial han dejado los acuerdos con Irán|Tras casi una década de acercamiento entre Ecuador e Irán, las relaciones ... ventaja, pues Irán no pertenece a la Organización Mundial de Comercio (OMC).|24 ago. 2016|2016|economi
ecuador_elcomercio_2015_106|El Comercio|El salario básico para el 2016 será USD 366|El salario básico unificado para el 2016 será de USD 366. Así lo anunció el ministro de Trabajo, Leonardo Berrezueta, este 21 de diciembre del 2015.|21 dic. 2015|2015|economi
